name,population
Okres Bratislava I,41893
Okres Bratislava II,116223
Okres Bratislava III,69479
Okres Bratislava IV,97792
Okres Bratislava V,112339
Okres Malacky,74661
Okres Pezinok,65593
Okres Senec,91612
Okres Dunajská Streda,122825
Okres Galanta,94147
Okres Hlohovec,44943
Okres Piešťany,62726
Okres Senica,60419
Okres Skalica,47078
Okres Trnava,132779
Okres Bánovce nad Bebravou,36184
Okres Ilava,59075
Okres Myjava,26256
Okres Nové Mesto nad Váhom,62575
Okres Partizánske,45489
Okres Považská Bystrica,62351
Okres Prievidza,133721
Okres Púchov,44248
Okres Trenčín,114670
Okres Komárno,101500
Okres Levice,110523
Okres Nitra,161679
Okres Nové Zámky,138577
Okres Šaľa,51568
Okres Topoľčany,69947
Okres Zlaté Moravce,40512
Okres Tvrdošín,36203
Okres Žilina,158279
Okres Bytča,30965
Okres Čadca,89952
Okres Dolný Kubín,39417
Okres Kysucké Nové Mesto,32890
Okres Liptovský Mikuláš,72216
Okres Martin,96171
Okres Námestovo,62879
Okres Ružomberok,56657
Okres Turčianske Teplice,15880
Okres Veľký Krtíš,43263
Okres Zvolen,68685
Okres Žarnovica,26112
Okres Žiar nad Hronom,46732
Okres Banská Bystrica,110716
Okres Banská Štiavnica,16069
Okres Brezno,61269
Okres Detva,31967
Okres Krupina,22139
Okres Lučenec,73342
Okres Poltár,21397
Okres Revúca,39537
Okres Rimavská Sobota,84048
Okres Stará Ľubovňa,53958
Okres Stropkov,20442
Okres Svidník,32484
Okres Vranov nad Topľou,80841
Okres Bardejov,77765
Okres Humenné,61773
Okres Kežmarok,75533
Okres Levoča,33708
Okres Medzilaborce,11787
Okres Poprad,104990
Okres Prešov,176181
Okres Sabinov,60659
Okres Snina,36123
Okres Spišská Nová Ves,99878
Okres Trebišov,105295
Okres Gelnica,31894
Okres Košice I,67484
Okres Košice II,82278
Okres Košice III,28687
Okres Košice IV,60144
Okres Košice - okolie,130132
Okres Michalovce,110748
Okres Rožňava,62131
Okres Sobrance,22789
