,name,code,population
75,bolesławiecki,t0201,90293
99,dzierżoniowski,t0202,100490
124,głogowski,t0203,88929
123,górowski,t0204,34759
134,jaworski,t0205,50000
135,jeleniogórski,t0206,63241
138,kamiennogórski,t0207,43040
167,kłodzki,t0208,157224
169,legnicki,t0209,55288
179,lubański,t0210,54140
181,lubiński,t0211,105911
183,lwówecki,t0212,45455
190,milicki,t0213,37037
216,oleśnicki,t0214,107296
230,oławski,t0215,76923
243,polkowicki,t0216,63050
290,strzeliński,t0217,43478
365,średzki,t0218,55372
368,świdnicki,t0219,156463
313,trzebnicki,t0220,85366
318,wałbrzyski,t0221,55422
327,wołowski,t0222,46729
328,wrocławski,t0223,154105
348,ząbkowicki,t0224,64220
345,zgorzelecki,t0225,88586
349,złotoryjski,t0226,43344
17,Jelenia Góra,t0261,78762
25,Legnica,t0262,99187
56,Wrocław,t0264,643617
55,Wałbrzych,t0265,110772
61,aleksandrowski,t0401,54927
77,brodnicki,t0402,78992
83,bydgoski,t0403,119388
86,chełmiński,t0404,51845
110,golubsko-dobrzyński,t0405,44932
119,grudziądzki,t0406,40198
128,inowrocławski,t0407,159249
175,lipnowski,t0408,65702
194,mogileński,t0409,45495
201,nakielski,t0410,86166
262,radziejowski,t0411,40254
269,rypiński,t0412,43447
300,sępoleński,t0413,40865
372,świecki,t0414,98974
312,toruński,t0415,108995
314,tucholski,t0416,48341
333,wąbrzeski,t0417,34122
337,włocławski,t0418,85938
376,żniński,t0419,70060
3,Bydgoszcz,t0461,346654
14,Grudziądz,t0462,94027
52,Toruń,t0463,201066
57,Włocławek,t0464,109317
65,bialski,t0601,110465
73,biłgorajski,t0602,100554
87,chełmski,t0603,77922
127,hrubieszowski,t0604,62500
130,janowski,t0605,45455
156,krasnostawski,t0606,62992
157,kraśnicki,t0607,95035
178,lubartowski,t0608,88180
180,lubelski,t0609,155794
362,łęczyński,t0610,57292
359,łukowski,t0611,106719
221,opolski,t0612,58824
234,parczewski,t0613,34598
254,puławski,t0614,112965
263,radzyński,t0615,58608
268,rycki,t0616,55858
369,świdnicki,t0617,71828
310,tomaszowski,t0618,82308
338,włodawski,t0619,38191
341,zamojski,t0620,106007
0,Biała Podlaska,t0661,57260
5,Chełm,t0662,61606
27,Lublin,t0663,339667
59,Zamość,t0664,63307
112,gorzowski,t0801,72095
159,krośnieński,t0802,54688
192,międzyrzecki,t0803,57377
208,nowosolski,t0804,85973
302,słubicki,t0805,46875
289,strzelecko-drezdenecki,t0806,48829
292,sulęciński,t0807,35144
371,świebodziński,t0808,55556
346,zielonogórski,t0809,75697
374,żagański,t0810,78712
375,żarski,t0811,95792
330,wschowski,t0812,38732
13,Gorzów Wielkopolski,t0861,123263
60,Zielona Góra,t0862,141220
64,bełchatowski,t1001,112735
161,kutnowski,t1002,96070
353,łaski,t1003,50000
361,łęczycki,t1004,49587
358,łowicki,t1005,77844
360,łódzki wschodni,t1006,72447
220,opoczyński,t1007,75893
232,pabianicki,t1008,119134
233,pajęczański,t1009,51020
237,piotrkowski,t1010,91295
241,poddębicki,t1011,41121
261,radomszczański,t1012,112211
265,rawski,t1013,48469
276,sieradzki,t1014,117460
279,skierniewicki,t1015,38180
311,tomaszowski,t1016,116147
322,wieluński,t1017,76613
323,wieruszowski,t1018,42105
343,zduńskowolski,t1019,66414
344,zgierski,t1020,166276
80,brzeziński,t1021,30803
352,Łódź,t1061,677758
34,Piotrków Trybunalski,t1062,72853
44,Skierniewice,t1063,47945
74,bocheński,t1201,107209
78,brzeski,t1202,93248
91,chrzanowski,t1203,124346
100,dąbrowski,t1204,59130
111,gorlicki,t1205,108696
154,krakowski,t1206,280720
174,limanowski,t1207,132275
187,miechowski,t1208,48626
198,myślenicki,t1209,127604
209,nowosądecki,t1210,217391
210,nowotarski,t1211,193939
217,olkuski,t1212,111111
231,oświęcimski,t1213,153383
245,proszowicki,t1214,43103
293,suski,t1215,84180
307,tarnowski,t1216,201597
308,tatrzański,t1217,68136
316,wadowicki,t1218,160096
321,wielicki,t1219,130129
23,Kraków,t1261,781213
29,Nowy Sącz,t1262,83624
51,Tarnów,t1263,108197
66,białobrzeski,t1401,33333
92,ciechanowski,t1402,89186
104,garwoliński,t1403,109023
113,gostyniński,t1404,44818
